epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0375,0.59949,2.34844,0.9487,0.60996,0.87548,0.76555,0.71916,0.32197,1.18266,0.80075,0.00331675,0.00331675,0.00331675
2,82.8868,0.48508,1.07366,0.90247,0.65634,0.86837,0.82243,0.74804,0.43112,1.51114,0.81668,0.00664679,0.00664679,0.00664679
3,123.875,0.52608,1.01531,0.91363,0.88305,0.94884,0.97182,0.87643,0.45822,1.39669,0.83921,0.00997353,0.00997353,0.00997353
4,165.02,0.52382,0.9551,0.91272,0.81189,0.84467,0.86181,0.79636,0.37512,1.68228,0.81841,0.00998515,0.00998515,0.00998515
5,206.034,0.48772,0.8419,0.906,0.85997,0.95122,0.97565,0.89687,0.3651,1.56856,0.8176,0.0099802,0.0099802,0.0099802
6,247.341,0.46441,0.74472,0.90122,0.9174,0.99794,0.94806,0.89192,0.32062,1.61817,0.81553,0.00997525,0.00997525,0.00997525
7,288.65,0.44935,0.67915,0.89595,0.90028,0.94128,0.95521,0.90745,0.30793,1.62112,0.81175,0.0099703,0.0099703,0.0099703
8,330.25,0.43742,0.62361,0.88877,0.93009,0.99826,0.97766,0.91955,0.3401,1.73826,0.81966,0.00996535,0.00996535,0.00996535
9,371.527,0.42615,0.55916,0.88654,0.93214,0.94445,0.96254,0.9064,0.33521,1.30791,0.82359,0.0099604,0.0099604,0.0099604
10,412.881,0.42027,0.52311,0.88705,0.92283,0.97796,0.94308,0.89715,0.30903,1.67664,0.81522,0.00995545,0.00995545,0.00995545
11,454.005,0.41542,0.4833,0.8824,0.93542,0.95494,0.97468,0.92768,0.29531,1.37183,0.81327,0.0099505,0.0099505,0.0099505
12,495.229,0.39796,0.45609,0.88001,0.9169,0.99188,0.94676,0.90913,0.29732,1.5544,0.80675,0.00994555,0.00994555,0.00994555
13,536.398,0.39589,0.4364,0.87965,0.89751,0.9769,0.93293,0.89511,0.27245,1.38852,0.80457,0.0099406,0.0099406,0.0099406
14,577.547,0.39762,0.42955,0.87899,0.93219,0.99625,0.94402,0.91303,0.2678,1.37414,0.80402,0.00993565,0.00993565,0.00993565
15,618.652,0.38598,0.39635,0.87041,0.94017,0.99954,0.95485,0.92099,0.29483,1.38267,0.81448,0.0099307,0.0099307,0.0099307
16,659.747,0.37969,0.38538,0.87187,0.92056,0.99369,0.95879,0.91728,0.29638,1.44641,0.81243,0.00992575,0.00992575,0.00992575
17,700.909,0.38195,0.37519,0.87542,0.93784,0.99959,0.96282,0.93544,0.25229,1.30557,0.80344,0.0099208,0.0099208,0.0099208
18,742.177,0.37327,0.36898,0.86571,0.93688,1,0.95059,0.92535,0.25772,1.35001,0.79819,0.00991585,0.00991585,0.00991585
19,783.208,0.36928,0.35989,0.87021,0.93601,0.99879,0.94064,0.91591,0.25364,1.40023,0.79824,0.0099109,0.0099109,0.0099109
20,824.401,0.36096,0.3503,0.8632,0.93748,1,0.94216,0.90897,0.25633,1.39513,0.80548,0.00990595,0.00990595,0.00990595
21,865.958,0.36913,0.35276,0.87151,0.93813,0.996,0.96345,0.93867,0.25511,1.32511,0.80128,0.009901,0.009901,0.009901
22,907.287,0.36178,0.34487,0.86522,0.93523,0.99874,0.96213,0.93621,0.24946,1.41685,0.80017,0.00989605,0.00989605,0.00989605
23,948.532,0.35942,0.33343,0.8649,0.93668,0.99781,0.97548,0.95687,0.24394,1.40061,0.7965,0.0098911,0.0098911,0.0098911
24,989.753,0.35866,0.33143,0.86566,0.93681,0.99915,0.94958,0.91917,0.25822,1.40745,0.80412,0.00988615,0.00988615,0.00988615
25,1031.05,0.35921,0.33398,0.8698,0.93708,1,0.96028,0.93669,0.24133,1.31585,0.80125,0.0098812,0.0098812,0.0098812
26,1072.13,0.35495,0.33596,0.86508,0.937,1,0.95115,0.92996,0.23791,1.47534,0.79914,0.00987625,0.00987625,0.00987625
